epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.222,0.54701,2.95851,1.28216,0.75363,0.77145,0.82536,0.80157,0.24059,0.88844,0.38158,0.0033309,0.0033309,0.0033309
2,994.521,0.41225,1.85805,1.14567,0.50508,0.26831,0.29393,0.21484,1.10318,3.15518,1.14053,0.00659826,0.00659826,0.00659826
3,1475.38,0.46809,1.82586,1.17025,0.84166,0.82944,0.89186,0.84203,0.28994,0.73508,0.34713,0.00979962,0.00979962,0.00979962
4,1949.79,0.43992,1.72792,1.14467,0.8617,0.87284,0.92388,0.9127,0.16345,0.55759,0.31604,0.009703,0.009703,0.009703
5,2422.59,0.39283,1.63753,1.11517,0.87136,0.85721,0.91925,0.89421,0.24374,0.62672,0.39333,0.009604,0.009604,0.009604
6,2895.45,0.36035,1.56119,1.09572,0.88238,0.88391,0.93089,0.92246,0.22088,0.49462,0.31894,0.009505,0.009505,0.009505
7,3369.54,0.34729,1.52232,1.08839,0.88888,0.89455,0.93944,0.93757,0.12233,0.41618,0.17888,0.009406,0.009406,0.009406
8,3842.88,0.32768,1.49573,1.07684,0.90389,0.89615,0.94491,0.93115,0.1702,0.46029,0.24466,0.009307,0.009307,0.009307
9,4316.4,0.31807,1.46458,1.07234,0.91836,0.91732,0.95427,0.95306,0.15914,0.39621,0.21789,0.009208,0.009208,0.009208
10,4789.88,0.31126,1.45261,1.0676,0.92475,0.92365,0.95733,0.95663,0.15479,0.33321,0.21383,0.009109,0.009109,0.009109
11,5263.6,0.30315,1.43548,1.06283,0.92671,0.92287,0.95823,0.95758,0.14067,0.34384,0.18953,0.00901,0.00901,0.00901
12,5737.91,0.29778,1.4235,1.06011,0.9294,0.92362,0.96013,0.95937,0.12461,0.31795,0.18285,0.008911,0.008911,0.008911
13,476.336,0.29417,1.40641,1.0596,0.93369,0.92523,0.96057,0.96,0.15527,0.33611,0.21257,0.008812,0.008812,0.008812
14,956.349,0.29187,1.3949,1.05844,0.93657,0.93397,0.96388,0.96377,0.10394,0.30769,0.14713,0.008713,0.008713,0.008713
15,1444.98,0.28848,1.38973,1.05561,0.93426,0.93069,0.96362,0.96306,0.13634,0.30645,0.1905,0.008614,0.008614,0.008614
16,1920.42,0.28712,1.37648,1.05413,0.93009,0.93403,0.96469,0.96435,0.11433,0.3116,0.16941,0.008515,0.008515,0.008515
17,2401.1,0.28027,1.37195,1.04965,0.94503,0.92768,0.96644,0.96593,0.10536,0.28745,0.1553,0.008416,0.008416,0.008416
18,2871.61,0.27383,1.35055,1.04527,0.93878,0.9402,0.96807,0.96773,0.11206,0.30426,0.16076,0.008317,0.008317,0.008317
19,3342.04,0.27596,1.3456,1.04859,0.94558,0.9347,0.96869,0.96841,0.08209,0.25206,0.12133,0.008218,0.008218,0.008218
20,3812.87,0.27041,1.3428,1.04485,0.94997,0.93429,0.96956,0.96947,0.09712,0.2781,0.13762,0.008119,0.008119,0.008119
21,4281.98,0.26878,1.32498,1.04485,0.94853,0.93847,0.9712,0.97113,0.09024,0.26077,0.13126,0.00802,0.00802,0.00802
