epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.519,0.92229,3.31995,1.4908,0.63173,0.69757,0.74681,0.61889,0.61442,1.24692,1.0634,0.0033287,0.0033287,0.0033287
2,678.391,0.80857,1.98887,1.37116,0.6363,0.58464,0.65018,0.52668,0.6952,1.37215,1.18332,0.00659608,0.00659608,0.00659608
3,1002.27,0.85686,1.91093,1.40556,0.71924,0.74613,0.79268,0.62365,0.7356,1.06428,1.19472,0.00979746,0.00979746,0.00979746
4,1327.53,0.87343,1.8838,1.41497,0.76962,0.769,0.82443,0.66377,0.67995,0.92287,1.18114,0.009703,0.009703,0.009703
5,1653.38,0.81524,1.72397,1.36643,0.82463,0.01844,0.01242,0.00548,3.1938,4.64722,6.23524,0.009604,0.009604,0.009604
6,1982.44,0.78047,1.63184,1.33607,0.76212,0.6006,0.72636,0.60708,0.63716,1.24058,1.14412,0.009505,0.009505,0.009505
7,2299.01,0.75386,1.56115,1.31972,0.53284,0.50943,0.51822,0.28846,1.343,1.90094,1.98147,0.009406,0.009406,0.009406
8,2620.16,0.73438,1.5325,1.30098,0.81718,0.83208,0.87342,0.75216,0.54583,0.68327,1.04415,0.009307,0.009307,0.009307
9,2944.78,0.72133,1.49242,1.29002,0.77359,0.73824,0.80941,0.66723,0.63906,0.94632,1.1065,0.009208,0.009208,0.009208
10,3268.41,0.70427,1.46741,1.27982,0.27523,0.1913,0.13334,0.07232,3.03003,2.57498,6.39656,0.009109,0.009109,0.009109
11,3590.94,0.69011,1.4374,1.26886,0.89985,0.90408,0.94426,0.84016,0.50979,0.46643,0.93288,0.00901,0.00901,0.00901
12,3915.37,0.6808,1.42536,1.26123,0.88017,0.88553,0.9246,0.84415,0.40488,0.50103,0.8952,0.008911,0.008911,0.008911
13,4236.85,0.66602,1.39992,1.2499,0.73726,0.73082,0.80164,0.65675,0.6058,0.87935,1.08011,0.008812,0.008812,0.008812
14,4556.24,0.6503,1.38422,1.23933,0.89914,0.90708,0.94052,0.84607,0.45689,0.44762,0.91467,0.008713,0.008713,0.008713
15,4882.54,0.6378,1.36544,1.23252,0.91534,0.90803,0.94696,0.90178,0.31337,0.40242,0.83345,0.008614,0.008614,0.008614
16,5207.53,0.63003,1.35669,1.22578,0.9018,0.90425,0.93858,0.89657,0.29574,0.41625,0.81968,0.008515,0.008515,0.008515
17,5528.05,0.62393,1.3514,1.22132,0.9216,0.9129,0.94963,0.90298,0.32811,0.39601,0.8246,0.008416,0.008416,0.008416
18,5850.17,0.61358,1.32772,1.21492,0.92245,0.91875,0.95561,0.92084,0.28309,0.36634,0.7861,0.008317,0.008317,0.008317
19,6169.74,0.60627,1.31376,1.21049,0.92299,0.91714,0.95322,0.92674,0.25732,0.3621,0.77334,0.008218,0.008218,0.008218
20,6486.65,0.60443,1.31091,1.20869,0.92498,0.91772,0.95408,0.92494,0.27013,0.35394,0.78997,0.008119,0.008119,0.008119
21,6804.2,0.60049,1.31473,1.20631,0.92191,0.92418,0.95583,0.92474,0.26797,0.34985,0.78261,0.00802,0.00802,0.00802
22,7120.1,0.59644,1.29956,1.20281,0.92859,0.9241,0.95713,0.92832,0.26032,0.34578,0.77379,0.007921,0.007921,0.007921
23,7435.47,0.59092,1.28654,1.1958,0.93327,0.91759,0.95882,0.93669,0.23744,0.33666,0.75116,0.007822,0.007822,0.007822
24,7751.63,0.58845,1.29342,1.19513,0.92787,0.92563,0.96143,0.94201,0.22558,0.32162,0.74428,0.007723,0.007723,0.007723
25,8067.5,0.58192,1.27696,1.19047,0.93409,0.92448,0.96083,0.94171,0.22433,0.31584,0.7414,0.007624,0.007624,0.007624
26,8391.4,0.58118,1.28216,1.19104,0.93357,0.91977,0.96068,0.94171,0.21802,0.31978,0.73644,0.007525,0.007525,0.007525
27,8716.51,0.57339,1.26243,1.18498,0.9386,0.9205,0.96225,0.94491,0.21248,0.30966,0.7315,0.007426,0.007426,0.007426
28,9044.85,0.57049,1.26681,1.18539,0.93659,0.92655,0.96201,0.94682,0.20625,0.30091,0.72416,0.007327,0.007327,0.007327
29,9369,0.56862,1.26056,1.18244,0.9302,0.93285,0.96301,0.94721,0.20972,0.3004,0.72807,0.007228,0.007228,0.007228
30,9688,0.56653,1.25197,1.18245,0.93899,0.92483,0.96422,0.94851,0.20656,0.29983,0.72344,0.007129,0.007129,0.007129
31,10013.6,0.56347,1.24371,1.1794,0.94048,0.92691,0.96413,0.94928,0.20081,0.29777,0.71785,0.00703,0.00703,0.00703
32,10336.6,0.5621,1.24113,1.17886,0.93456,0.93274,0.96477,0.94979,0.19688,0.29344,0.71812,0.006931,0.006931,0.006931
33,10661.4,0.56007,1.229,1.17707,0.94083,0.92497,0.96489,0.95052,0.19422,0.29078,0.71242,0.006832,0.006832,0.006832
34,10982.4,0.55505,1.23171,1.17154,0.93415,0.93008,0.96538,0.95242,0.19164,0.28751,0.70752,0.006733,0.006733,0.006733
35,11307.8,0.55571,1.23358,1.17249,0.92687,0.93607,0.96466,0.95173,0.18951,0.29149,0.70474,0.006634,0.006634,0.006634
36,11628.6,0.55295,1.22351,1.17007,0.93843,0.92634,0.96422,0.95161,0.19013,0.2925,0.70694,0.006535,0.006535,0.006535
37,11948.5,0.55138,1.21892,1.17112,0.93966,0.92422,0.96475,0.95259,0.18776,0.28781,0.70644,0.006436,0.006436,0.006436
38,12272.8,0.5471,1.2157,1.16699,0.94118,0.92294,0.96497,0.95273,0.18719,0.2882,0.70524,0.006337,0.006337,0.006337
39,12598.9,0.5406,1.21132,1.16415,0.93969,0.92422,0.96569,0.95337,0.18713,0.28529,0.70474,0.006238,0.006238,0.006238
40,12923,0.54791,1.19685,1.16987,0.93903,0.92338,0.96612,0.95366,0.18527,0.28377,0.70338,0.006139,0.006139,0.006139
41,13247.7,0.5359,1.20146,1.16005,0.93996,0.92446,0.966,0.95368,0.18348,0.28336,0.70174,0.00604,0.00604,0.00604
42,13572.6,0.53687,1.18609,1.163,0.9358,0.92996,0.96591,0.95405,0.18382,0.28186,0.70294,0.005941,0.005941,0.005941
43,13896.5,0.5321,1.1886,1.15877,0.93628,0.92962,0.96605,0.95387,0.18329,0.28006,0.70273,0.005842,0.005842,0.005842
44,14219,0.529,1.1791,1.15679,0.93431,0.93166,0.96595,0.95399,0.18296,0.27833,0.7026,0.005743,0.005743,0.005743
