epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.223,1.65545,3.25463,1.72908,0.59323,0.63834,0.61344,0.32102,1.54965,1.23998,1.62276,0.00332085,0.00332085,0.00332085
2,290.692,1.35363,1.54547,1.45178,0.66716,0.61337,0.64326,0.34154,1.51642,1.3242,1.54119,0.00661026,0.00661026,0.00661026
3,429.17,1.38846,1.52721,1.47797,0.5985,0.46982,0.48136,0.27595,1.53111,1.68202,1.64761,0.00985568,0.00985568,0.00985568
4,570.712,1.42502,1.52813,1.52016,0.64935,0.48254,0.49616,0.23436,1.82553,1.59584,1.89403,0.009802,0.009802,0.009802
5,712.598,1.3769,1.42736,1.49969,0.56062,0.6982,0.60335,0.28402,1.78648,1.355,1.87202,0.009736,0.009736,0.009736
6,854.417,1.33914,1.3536,1.479,0.61219,0.77659,0.7267,0.39284,1.47532,1.02914,1.63019,0.00967,0.00967,0.00967
7,999.311,1.30814,1.28329,1.46302,0.6446,0.80104,0.77733,0.44793,1.36481,1.01507,1.55621,0.009604,0.009604,0.009604
8,1144.59,1.27835,1.23317,1.43316,0.70868,0.75583,0.76947,0.47364,1.22546,0.92757,1.45313,0.009538,0.009538,0.009538
9,1287.22,1.24161,1.1908,1.41448,0.8135,0.73033,0.80473,0.5092,1.12213,0.89989,1.39082,0.009472,0.009472,0.009472
10,1434.19,1.23294,1.18223,1.42185,0.70991,0.73419,0.75427,0.43787,1.40411,1.06642,1.57836,0.009406,0.009406,0.009406
11,1572.55,1.22326,1.16091,1.41023,0.68227,0.70427,0.73723,0.43094,1.34752,1.10237,1.55094,0.00934,0.00934,0.00934
12,1707.54,1.19134,1.11816,1.38736,0.71028,0.8291,0.80261,0.50184,1.12054,0.86971,1.37221,0.009274,0.009274,0.009274
13,1844.28,1.17043,1.08011,1.37951,0.71054,0.80172,0.80609,0.47747,1.33481,0.87209,1.56658,0.009208,0.009208,0.009208
14,1978.06,1.16363,1.06807,1.37251,0.74843,0.83062,0.83341,0.5198,1.20019,0.79033,1.41255,0.009142,0.009142,0.009142
15,2116.43,1.14767,1.04028,1.3631,0.77422,0.81383,0.83943,0.56118,1.03635,0.79305,1.30793,0.009076,0.009076,0.009076
16,2255.01,1.15201,1.05428,1.36,0.73763,0.76054,0.8018,0.4651,1.40572,0.95236,1.56712,0.00901,0.00901,0.00901
17,2400.05,1.13618,1.03147,1.35454,0.79016,0.86709,0.88001,0.5577,1.16089,0.73835,1.38521,0.008944,0.008944,0.008944
18,2544.22,1.12714,1.04519,1.34968,0.78089,0.85718,0.87921,0.61796,0.9554,0.70308,1.25449,0.008878,0.008878,0.008878
19,2689.43,1.10904,1.00483,1.33312,0.7317,0.87674,0.88697,0.61425,0.98878,0.68721,1.27241,0.008812,0.008812,0.008812
20,2832.95,1.09356,0.97829,1.32366,0.80701,0.88438,0.89502,0.60887,1.01281,0.66142,1.28039,0.008746,0.008746,0.008746
21,2976.27,1.08405,0.96667,1.32709,0.6075,0.49352,0.54815,0.31221,1.58033,1.7626,1.71374,0.00868,0.00868,0.00868
22,3120.28,1.09465,0.97386,1.3171,0.80678,0.8479,0.88318,0.60202,1.005,0.69617,1.28418,0.008614,0.008614,0.008614
23,3263.33,1.07158,0.94547,1.29836,0.81925,0.85793,0.89965,0.56444,1.1166,0.69266,1.36339,0.008548,0.008548,0.008548
24,3399.05,1.05088,0.95644,1.29319,0.82193,0.86571,0.89444,0.63268,0.91451,0.62161,1.21451,0.008482,0.008482,0.008482
25,3543.82,1.05658,0.92207,1.29588,0.84781,0.85762,0.91248,0.62085,0.97927,0.62915,1.2733,0.008416,0.008416,0.008416
26,3702.55,1.05809,0.93785,1.31394,0.80326,0.84062,0.89939,0.64562,0.89521,0.64201,1.2126,0.00835,0.00835,0.00835
